id,car_name,brand,model,new_price,min_cost_price,max_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
3421,Maruti Wagon R,Maruti,Wagon R,,,,6,39983,Dealer,Petrol,Manual,21.79,998,67.05,5,425000
3422,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,706000,742000,6,78000,Dealer,Petrol,Manual,18.9,1197,82,5,425000
3423,Tata Sumo,Tata,Sumo,,,,11,220000,Individual,Diesel,Manual,14,2179,120,9,300000
3424,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.51-13.98 Lakh*,1051000,1398000,1,6000,Dealer,Diesel,Manual,23,1498,98.96,5,1095000
3425,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.90-16.99 Lakh*,1290000,1699000,5,32000,Dealer,Petrol,Automatic,18,1497,117.3,5,845000
3426,Hyundai Creta,Hyundai,Creta,New Car (On-Road Price) : Rs.12.32-20.80 Lakh*,1232000,2080000,6,81000,Dealer,Diesel,Manual,19.67,1582,126.2,5,975000
3427,Maruti Dzire VXI,Maruti,Dzire VXI,New Car (On-Road Price) : Rs.6.92-10.32 Lakh*,692000,1032000,9,24000,Dealer,Petrol,Automatic,24.12,1197,88.5,5,411000
3428,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.9.08-11.77 Lakh*,908000,1177000,8,64000,Dealer,Diesel,Manual,25.8,1498,98.6,5,396000
3429,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.80-10.44 Lakh*,680000,1044000,3,22000,Dealer,Petrol,Manual,21.4,1197,83.1,5,750000
3430,Honda Accord,Honda,Accord,,,,8,70000,Dealer,Petrol,Manual,12.8,2354,177.6,5,595000
3431,Toyota Etios,Toyota,Etios,,,,7,80000,Individual,Petrol,Manual,16.78,1496,88.73,5,410000
3432,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.9.13-9.66 Lakh*,913000,966000,10,48971,Dealer,Diesel,Manual,20,1399,68,5,282000
3433,Maruti Wagon R,Maruti,Wagon R,,,,6,40000,Individual,Petrol,Automatic,20.51,998,67.04,5,450000
3434,Mahindra XUV500,Mahindra,XUV500,New Car (On-Road Price) : Rs.16.59-23.37 Lakh*,1659000,2337000,4,89200,Individual,Diesel,Automatic,16,2179,140,7,1650000
3435,Honda Brio,Honda,Brio,,,,5,7623,Dealer,Petrol,Manual,19.4,1198,86.8,5,481000
3436,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,706000,742000,4,16000,Dealer,Petrol,Manual,18.9,1197,82,5,490000
3437,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.9.50-13.37 Lakh*,950000,1337000,7,44406,Dealer,Petrol,Manual,18.88,999,123.24,5,650000
3438,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.9.00-10.53 Lakh*,900000,1053000,11,25000,Individual,Diesel,Manual,13.6,2523,63,7,250000
3439,Datsun GO,Datsun,GO,New Car (On-Road Price) : Rs.4.99-8.13 Lakh*,499000,813000,5,15000,Individual,Petrol,Manual,19.44,1198,67,7,350000
3440,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.90-13.23 Lakh*,790000,1323000,4,27266,Dealer,Petrol,Manual,18.6,1197,81.83,5,700000
3441,Tata Safari,Tata,Safari,New Car (On-Road Price) : Rs.14.85-21.41 Lakh*,1485000,2141000,11,60893,Dealer,Diesel,Manual,11.57,2179,138.1,7,350000
3442,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.7.27-10.25 Lakh*,727000,1025000,4,50000,Individual,Petrol,Manual,17.8,1198,86.7,5,550000
3443,Maruti Swift,Maruti,Swift,,,,13,120000,Individual,Diesel,Manual,17.8,1248,75,5,250000
3444,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.92-10.31 Lakh*,692000,1031000,7,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5,475000
3445,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,,,,8,73000,Dealer,Diesel,Automatic,14.84,2143,170,5,1075000
3446,Toyota Innova,Toyota,Innova,,,,7,86000,Dealer,Diesel,Manual,12.8,2494,102,7,995000
3447,Datsun RediGO,Datsun,RediGO,New Car (On-Road Price) : Rs.4.00-6.32 Lakh*,400000,632000,4,20000,Dealer,Petrol,Manual,22.5,999,67,5,271000
3448,Hyundai i10,Hyundai,i10,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,706000,742000,9,62000,Dealer,Petrol,Manual,19.81,1086,68.05,5,255000
3449,Honda Mobilio,Honda,Mobilio,,,,7,120000,Individual,Diesel,Manual,24.5,1498,98.6,7,550000
3450,Maruti Ertiga,Maruti,Ertiga,New Car (On-Road Price) : Rs.8.92-12.29 Lakh*,892000,1229000,3,36352,Dealer,Petrol,Manual,19.34,1462,103,7,855000
3451,Audi Q3,Audi,Q3,,,,3,12000,Dealer,Diesel,Automatic,15.17,1968,181,5,3200000
3452,Honda BRV,Honda,BRV,,,,5,25000,Dealer,Petrol,Manual,15.4,1497,117.3,7,750000
3453,Maruti Ciaz,Maruti,Ciaz,,,,6,48000,Dealer,Diesel,Manual,26.21,1248,88.5,5,685000
3454,Maruti Swift,Maruti,Swift,,,,8,78278,Dealer,Diesel,Manual,22.9,1248,74,5,475000
3455,Volkswagen Polo,Volkswagen,Polo,,,,6,100000,Individual,Diesel,Manual,20.14,1498,88.8,5,450000
3456,Toyota Innova,Toyota,Innova,New Car (On-Road Price) : Rs.20.73-30.10 Lakh*,2073000,3010000,5,53380,Dealer,Diesel,Automatic,13.68,2393,147.51,8,1650000
3457,Tata Tigor,Tata,Tigor,,,,3,60204,Dealer,Diesel,Manual,24.7,1047,69,5,525000
3458,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.10.02-13.20 Lakh*,1002000,1320000,5,68000,Dealer,Diesel,Manual,22.54,1396,88.73,5,720000
3459,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.51-7.33 Lakh*,551000,733000,11,75008,Dealer,Petrol,Manual,18.9,998,67.1,5,240000
3460,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.51-13.98 Lakh*,1051000,1398000,3,29000,Dealer,Diesel,Manual,23,1498,98.96,5,940000
3461,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,1284000,1809000,5,83000,Individual,Diesel,Manual,24.8,1396,88.7,5,775000
3462,Toyota Innova,Toyota,Innova,,,,6,114000,Dealer,Diesel,Manual,12.99,2494,100.6,7,1275000
3463,Hyundai i10,Hyundai,i10,,,,8,42000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,360000
3464,Maruti Ritz,Maruti,Ritz,,,,10,71000,Dealer,Diesel,Manual,21.1,1248,73.9,5,265000
3465,Toyota Innova,Toyota,Innova,,,,6,117000,Dealer,Diesel,Manual,12.99,2494,100.6,8,1155000
3466,Skoda Superb,Skoda,Superb,New Car (On-Road Price) : Rs.36.39-39.36 Lakh*,3639000,3936000,12,61205,Dealer,Petrol,Automatic,13.7,1798,157.75,5,449000
3467,Hyundai i20,Hyundai,i20,,,,9,87000,Dealer,Diesel,Manual,23,1396,90,5,460000
3468,Mahindra Xylo,Mahindra,Xylo,,,,12,90000,Dealer,Diesel,Manual,14,2498,112,8,300000
3469,Hyundai Xcent,Hyundai,Xcent,,,,6,52000,Dealer,Diesel,Manual,24.4,1120,71.01,5,515000
3470,Skoda Rapid,Skoda,Rapid,,,,5,49661,Dealer,Diesel,Automatic,21.66,1498,103.52,5,695000
3471,Hyundai i10,Hyundai,i10,,,,8,20000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,375000
3472,Maruti Alto,Maruti,Alto,,,,7,56332,Dealer,Petrol,Manual,23.95,998,67.05,5,285000
3473,Tata Hexa,Tata,Hexa,New Car (On-Road Price) : Rs.14.10 Lakh*,1410000,1410000,3,46000,Individual,Diesel,Manual,17.6,2179,153.86,7,1225000
3474,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.41-9.31 Lakh*,641000,931000,8,37000,Dealer,Petrol,Manual,18.6,1197,85.8,5,410000
3475,Honda Jazz,Honda,Jazz,New Car (On-Road Price) : Rs.8.94-11.48 Lakh*,894000,1148000,2,7000,Dealer,Petrol,Automatic,19,1199,88.7,5,821000
3476,Hyundai Grand,Hyundai,Grand,,,,5,40000,Dealer,Petrol,Manual,18.9,1197,82,5,510000
3477,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.6.58-8.24 Lakh*,658000,824000,10,570000,Dealer,Petrol,Manual,15.6,1196,70,5,200000
3478,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.15.51-19.91 Lakh*,1551000,1991000,4,61000,Dealer,Diesel,Manual,15.4,1997,120,7,1025000
3479,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.87-10.54 Lakh*,687000,1054000,5,95000,Individual,Petrol,Manual,21.4,1197,83.1,5,550000
3480,Hyundai Elantra,Hyundai,Elantra,New Car (On-Road Price) : Rs.21.07-23.54 Lakh*,2107000,2354000,3,18000,Dealer,Petrol,Automatic,14.62,1999,149.92,5,1550000
3481,Maruti Ciaz,Maruti,Ciaz,,,,6,67181,Dealer,Diesel,Manual,26.21,1248,88.5,5,679000
3482,Renault Duster,Renault,Duster,New Car (On-Road Price) : Rs.11.64-16.89 Lakh*,1164000,1689000,7,120000,Individual,Petrol,Manual,13.24,1598,102.57,5,545000
3483,Honda City,Honda,City,,,,11,84768,Dealer,Petrol,Manual,17,1497,118,5,275000
3484,Maruti A,Maruti,A,,,,11,28563,Dealer,Petrol,Manual,19,998,66.1,5,185000
3485,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.6.39-6.45 Lakh*,639000,645000,6,36000,Dealer,CNG,Manual,31.79,998,58.2,5,422000
3486,Chevrolet Spark,Chevrolet,Spark,,,,13,39000,Dealer,LPG,Manual,16,995,59,5,89000
3487,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.14.49-18.69 Lakh*,1449000,1869000,5,49490,Dealer,Diesel,Manual,15.4,2179,120,7,975000
3488,Maruti Ertiga,Maruti,Ertiga,New Car (On-Road Price) : Rs.10.22 Lakh*,1022000,1022000,4,33072,Dealer,CNG,Manual,26.08,1462,91.19,7,790000
3489,Maruti Ertiga,Maruti,Ertiga,,,,6,92457,Individual,Diesel,Manual,20.77,1248,88.8,7,699000
3490,Volkswagen Ameo,Volkswagen,Ameo,,,,4,44000,Dealer,Diesel,Manual,21.66,1498,108.62,5,500000
3491,Mahindra XUV500,Mahindra,XUV500,New Car (On-Road Price) : Rs.16.61-23.39 Lakh*,1661000,2339000,7,114000,Dealer,Diesel,Manual,15.1,2179,140,7,690000
3492,Volkswagen Polo,Volkswagen,Polo,New Car (On-Road Price) : Rs.6.96-11.44 Lakh*,696000,1144000,6,56606,Dealer,Petrol,Automatic,17.21,1197,103.6,5,662000
3493,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.10.56-16.45 Lakh*,1056000,1645000,8,57800,Dealer,Petrol,Manual,17.1,1591,121.3,5,485000
3494,Honda City,Honda,City,,,,7,70000,Individual,Diesel,Manual,26,1498,98.6,5,520000
3495,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.6.87-7.22 Lakh*,687000,722000,7,35000,Individual,Petrol,Manual,18.9,1197,82,5,425000
3496,Tata Manza,Tata,Manza,,,,9,110000,Individual,Diesel,Manual,21.02,1248,88.76,5,240000
3497,Maruti Ciaz,Maruti,Ciaz,New Car (On-Road Price) : Rs.9.95-13.51 Lakh*,995000,1351000,6,25000,Individual,Petrol,Manual,20.73,1373,91.1,5,700000
3498,Hyundai Elantra,Hyundai,Elantra,New Car (On-Road Price) : Rs.20.69-23.12 Lakh*,2069000,2312000,2,10000,Individual,Petrol,Automatic,14.62,1999,149.92,5,1890000
3499,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.88-10.68 Lakh*,688000,1068000,3,16348,Dealer,Petrol,Manual,21.4,1197,83.1,5,700000
3500,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.6.21-6.29 Lakh*,621000,629000,8,55853,Dealer,CNG,Manual,33.54,998,67.04,5,349000
3501,Maruti Baleno,Maruti,Baleno,,,,4,21000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,745000
3502,Skoda Superb,Skoda,Superb,New Car (On-Road Price) : Rs.36.70-39.68 Lakh*,3670000,3968000,10,44275,Dealer,Petrol,Automatic,13.7,1798,157.75,5,535000
3503,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.6.09-6.17 Lakh*,609000,617000,8,58288,Dealer,CNG,Manual,26.2,998,58.2,5,350000
3504,Mahindra KUV100,Mahindra,KUV100,New Car (On-Road Price) : Rs.6.66-8.46 Lakh*,666000,846000,3,79814,Individual,Petrol,Manual,18.15,1198,82,6,500000
3505,BMW 5,BMW,5,New Car (On-Road Price) : Rs.76.04-85.24 Lakh*,7604000,8524000,5,27000,Dealer,Diesel,Automatic,14.69,2993,258,5,3200000
3506,Hyundai Elantra,Hyundai,Elantra,New Car (On-Road Price) : Rs.21.07-23.54 Lakh*,2107000,2354000,8,80000,Individual,Petrol,Automatic,14.5,1797,147.5,5,750000
3507,Hyundai Creta,Hyundai,Creta,New Car (On-Road Price) : Rs.12.11-20.45 Lakh*,1211000,2045000,2,38000,Individual,Diesel,Manual,22.1,1396,88.7,5,1050000
3508,BMW 3,BMW,3,New Car (On-Road Price) : Rs.51.47-59.46 Lakh*,5147000,5946000,7,25000,Dealer,Diesel,Automatic,18.88,1995,184,5,1699000
3509,Maruti Swift,Maruti,Swift,,,,7,67800,Dealer,Diesel,Manual,28.4,1248,74,5,495000
3510,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.40-7.19 Lakh*,540000,719000,11,49000,Dealer,Petrol,Manual,18.9,998,67.1,5,220000
3511,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.90-17.10 Lakh*,1290000,1710000,5,36070,Dealer,Petrol,Manual,16.8,1497,116.3,5,754000
3512,Maruti SX4,Maruti,SX4,,,,6,46253,Dealer,Diesel,Manual,23.65,1248,88.5,5,620000
3513,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.6.58-8.24 Lakh*,658000,824000,9,55500,Dealer,Petrol,Manual,15.6,1196,70,5,249000
3514,Tata Indigo,Tata,Indigo,,,,8,58388,Individual,Diesel,Manual,23.03,1396,69,5,325000
3515,Skoda Rapid,Skoda,Rapid,,,,5,48000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,675000
3516,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.38-13.24 Lakh*,838000,1324000,5,35000,Dealer,Petrol,Manual,18.6,1197,81.83,5,578000
3517,Maruti Ertiga,Maruti,Ertiga,New Car (On-Road Price) : Rs.10.23 Lakh*,1023000,1023000,4,12000,Dealer,CNG,Manual,17.5,1373,80.46,7,845000
3518,Datsun RediGO,Datsun,RediGO,New Car (On-Road Price) : Rs.4.00-6.32 Lakh*,400000,632000,4,23000,Dealer,Petrol,Manual,22.7,799,53.64,5,310000
3519,Hyundai Creta,Hyundai,Creta,,,,4,49000,Dealer,Petrol,Automatic,13,1591,121.3,5,1125000
3520,Hyundai Xcent,Hyundai,Xcent,,,,5,190000,Individual,Diesel,Manual,24.4,1120,71,5,500000
3521,Honda BRV,Honda,BRV,,,,5,61000,Dealer,Diesel,Manual,21.9,1498,98.6,7,755000
3522,Maruti Alto,Maruti,Alto,,,,12,55274,Dealer,Petrol,Manual,19.7,796,46.3,5,145000
3523,Hyundai Santro,Hyundai,Santro,,,,13,60000,Dealer,Petrol,Manual,17.8,1086,63,5,135000
3524,Maruti Ritz,Maruti,Ritz,,,,10,85250,Dealer,Petrol,Manual,21.1,1197,85.8,5,290000
3525,Skoda Superb,Skoda,Superb,,,,11,64400,Dealer,Petrol,Automatic,13.7,1798,157.75,5,399000
3526,Maruti Baleno,Maruti,Baleno,,,,5,100000,Individual,Diesel,Manual,27.39,1248,74,5,650000
3527,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.92-10.32 Lakh*,692000,1032000,7,94000,Dealer,Petrol,Manual,19.1,1197,85.8,5,475000
3528,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.92-10.31 Lakh*,692000,1031000,9,80000,Individual,Petrol,Manual,19.1,1197,85.8,5,400000
3529,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.7.27-10.25 Lakh*,727000,1025000,6,59123,Dealer,Petrol,Manual,18,1198,86.7,5,475000
3530,Volkswagen Vento,Volkswagen,Vento,,,,9,62000,Dealer,Petrol,Manual,16.09,1598,103.2,5,370000
3531,Maruti Swift Dzire,Maruti,Swift Dzire,,,,8,56694,Dealer,Petrol,Manual,19.1,1197,85.8,5,435000
3532,Maruti Baleno,Maruti,Baleno,,,,3,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,575000
3533,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.10.56-16.45 Lakh*,1056000,1645000,9,78000,Dealer,Petrol,Manual,17.1,1591,121.3,5,500000
3534,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.90-16.99 Lakh*,1290000,1699000,5,13321,Dealer,Petrol,Manual,17.8,1497,117.3,5,750000
3535,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,New Car (On-Road Price) : Rs.52.16-65.17 Lakh*,5216000,6517000,8,77000,Dealer,Diesel,Automatic,19.27,2143,167.62,5,1050000
3536,Land Rover Rover,Land Rover,Rover,,,,11,120000,Dealer,Diesel,Automatic,12.35,2179,187.74,5,2150000
3537,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.67-12.83 Lakh*,967000,1283000,8,70000,Individual,Diesel,Manual,21.9,1396,88.76,5,425000
3538,Tata Manza,Tata,Manza,,,,11,90000,Individual,Diesel,Manual,18.8,1248,90,5,250000
3539,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.87-10.54 Lakh*,687000,1054000,6,59769,Dealer,Petrol,Automatic,19.56,1197,81.8,5,575000
3540,Tata Nano,Tata,Nano,,,,5,17000,Dealer,Petrol,Automatic,21.9,624,37.48,4,225000
3541,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.9.00-10.53 Lakh*,900000,1053000,2,23000,Dealer,Diesel,Manual,15.96,2523,62.1,7,800000
3542,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.68-12.84 Lakh*,968000,1284000,3,48000,Dealer,Diesel,Manual,22.54,1396,88.73,5,775000
3543,Maruti Alto,Maruti,Alto,,,,8,70000,Individual,Petrol,Manual,20.2,998,67.1,5,230000
3544,Ford Figo,Ford,Figo,,,,9,41650,Individual,Diesel,Manual,20,1399,68,5,295000
3545,Maruti Alto,Maruti,Alto,New Car (On-Road Price) : Rs.3.60-4.80 Lakh*,360000,480000,4,10617,Dealer,Petrol,Manual,24.7,796,47.3,5,314000
3546,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.9.18-11.77 Lakh*,918000,1177000,7,56000,Individual,Diesel,Manual,25.8,1498,98.6,5,399000
3547,Maruti Alto,Maruti,Alto,New Car (On-Road Price) : Rs.3.50-4.69 Lakh*,350000,469000,4,9122,Dealer,Petrol,Manual,24.7,796,47.3,5,323000
3548,Chevrolet Sail,Chevrolet,Sail,,,,6,90000,Individual,Diesel,Manual,22.1,1248,74,5,290000
3549,Maruti Swift,Maruti,Swift,,,,7,100000,Dealer,Diesel,Manual,22.9,1248,74,5,485000
3550,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.67-12.83 Lakh*,967000,1283000,5,54000,Dealer,Diesel,Manual,23,1396,90,5,650000
3551,Maruti Vitara,Maruti,Vitara,,,,4,85000,Dealer,Diesel,Manual,24.3,1248,88.5,5,735000
3552,Ford Fiesta,Ford,Fiesta,,,,6,120000,Individual,Diesel,Manual,25.01,1498,89.75,5,510000
3553,Renault KWID,Renault,KWID,New Car (On-Road Price) : Rs.4.15-6.68 Lakh*,415000,668000,5,51000,Dealer,Petrol,Manual,21.74,999,67,5,315000
3554,Mahindra XUV500,Mahindra,XUV500,New Car (On-Road Price) : Rs.16.59-23.37 Lakh*,1659000,2337000,7,103000,Dealer,Diesel,Manual,15.1,2179,140,7,785000
3555,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.88-10.68 Lakh*,688000,1068000,4,40174,Dealer,Petrol,Manual,21.4,1197,83.1,5,675000
3556,Maruti Zen,Maruti,Zen,,,,16,90000,Individual,Petrol,Manual,17.3,993,60,5,95000
3557,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.91-17.15 Lakh*,1291000,1715000,4,70000,Individual,Petrol,Automatic,18,1497,117.6,5,870000
3558,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.5.03-6.31 Lakh*,503000,631000,5,70000,Individual,Petrol,Manual,23.1,998,67.04,5,375000
3559,MG Hector,MG,Hector,,,,2,6231,Dealer,Petrol,Automatic,13.96,1451,141,5,1630000
3560,Skoda Fabia,Skoda,Fabia,,,,10,56767,Dealer,Diesel,Manual,20.86,1199,73.9,5,255000
3561,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.9.67-12.83 Lakh*,967000,1283000,4,56244,Dealer,Diesel,Manual,22.54,1396,88.73,5,795000
3562,Maruti Vitara,Maruti,Vitara,,,,3,35000,Individual,Diesel,Automatic,24.3,1248,88.5,5,1100000
3563,Mahindra TUV,Mahindra,TUV,,,,5,58237,Dealer,Diesel,Manual,18.49,1493,100,7,780000
3564,Hyundai Creta,Hyundai,Creta,New Car (On-Road Price) : Rs.12.32-20.80 Lakh*,1232000,2080000,4,68000,Dealer,Diesel,Automatic,17.6,1582,126.2,5,1340000
3565,Toyota Innova,Toyota,Innova,New Car (On-Road Price) : Rs.19.66-29.59 Lakh*,1966000,2959000,5,40000,Individual,Diesel,Manual,13.68,2393,147.8,7,1500000
3566,Nissan Sunny,Nissan,Sunny,,,,6,58479,Dealer,Petrol,Automatic,17.97,1498,99.6,5,375000
3567,Skoda Superb,Skoda,Superb,,,,11,82000,Dealer,Petrol,Automatic,13.7,1798,157.75,5,375000
3568,Volkswagen Polo,Volkswagen,Polo,,,,8,110000,Individual,Diesel,Manual,22.07,1199,73.9,5,375000
3569,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.5.78-6.70 Lakh*,578000,670000,3,9522,Trustmark Dealer,Petrol,Automatic,21.63,998,67.05,5,550000
3570,Skoda Rapid,Skoda,Rapid,,,,8,70000,Individual,Diesel,Manual,20.5,1598,103.5,5,410000
3571,Maruti SX4,Maruti,SX4,,,,10,78760,Individual,Petrol,Manual,15.5,1586,103.3,5,250000
3572,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.5.78-6.70 Lakh*,578000,670000,3,22000,Dealer,Petrol,Manual,21.63,998,67.05,5,455000
3573,Volkswagen Vento,Volkswagen,Vento,New Car (On-Road Price) : Rs.10.47-16.21 Lakh*,1047000,1621000,10,69000,Dealer,Petrol,Manual,16.09,1598,103.2,5,325000
3574,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,,,,4,35000,Dealer,Petrol,Automatic,12,1991,181.03,5,3945000
3575,Hyundai Elantra,Hyundai,Elantra,New Car (On-Road Price) : Rs.22.44-25.31 Lakh*,2244000,2531000,8,112087,Dealer,Diesel,Automatic,19.5,1582,126.24,5,651000
3576,Fiat Grande,Fiat,Grande,,,,10,78338,Dealer,Petrol,Manual,16.2,1172,68,5,175000
3577,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,706000,742000,6,38000,Dealer,Petrol,Manual,18.9,1197,82,5,485000
3578,Honda Amaze,Honda,Amaze,,,,8,54000,Dealer,Diesel,Manual,25.8,1498,98.6,5,380000
3579,Volkswagen Vento,Volkswagen,Vento,,,,3,30000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,951000
3580,Skoda Rapid,Skoda,Rapid,,,,5,72000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,580000
3581,Maruti Ertiga,Maruti,Ertiga,,,,4,35000,Dealer,Diesel,Manual,24.52,1248,88.5,7,875000
3582,Maruti Ertiga,Maruti,Ertiga,New Car (On-Road Price) : Rs.10.22 Lakh*,1022000,1022000,3,49000,Dealer,CNG,Manual,17.5,1373,80.46,7,819000
3583,Maruti Alto,Maruti,Alto,New Car (On-Road Price) : Rs.3.50-4.69 Lakh*,350000,469000,3,17000,Dealer,Petrol,Manual,24.7,796,47.3,5,345000
3584,Maruti Vitara,Maruti,Vitara,,,,4,32000,Dealer,Diesel,Manual,24.3,1248,88.5,5,845000
3585,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.9.18-11.77 Lakh*,918000,1177000,6,43251,Dealer,Diesel,Manual,25.8,1498,98.6,5,515000
3586,Maruti Swift Dzire,Maruti,Swift Dzire,,,,6,45000,Dealer,Diesel,Manual,19.3,1248,73.9,5,615000
3587,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.90-13.23 Lakh*,790000,1323000,6,25000,Dealer,Petrol,Manual,18.6,1197,81.83,5,571000
3588,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.12.85-18.11 Lakh*,1285000,1811000,9,115721,Dealer,Diesel,Manual,22.32,1582,126.32,5,495000
3589,Honda City,Honda,City,New Car (On-Road Price) : Rs.13.02-17.27 Lakh*,1302000,1727000,8,64800,Dealer,Petrol,Manual,16.8,1497,116.4,5,450000
3590,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.32-6.37 Lakh*,632000,637000,6,120000,Individual,Petrol,Manual,19,1197,85.8,5,200000
3591,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.51-7.33 Lakh*,551000,733000,5,50000,Individual,Petrol,Automatic,20.51,998,67,5,425000
3592,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.38-13.24 Lakh*,838000,1324000,8,20000,Individual,Petrol,Manual,18.5,1197,82.85,5,425000
3593,Volkswagen Polo,Volkswagen,Polo,New Car (On-Road Price) : Rs.7.23-11.75 Lakh*,723000,1175000,6,52000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,699000
3594,Maruti A,Maruti,A,,,,10,48100,Dealer,Petrol,Manual,19,998,66.1,5,225000
3595,Maruti Ertiga,Maruti,Ertiga,New Car (On-Road Price) : Rs.8.93-12.30 Lakh*,893000,1230000,8,76000,Dealer,Petrol,Manual,16.02,1373,93.7,7,590000
3596,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.14.49-18.69 Lakh*,1449000,1869000,11,91000,Dealer,Diesel,Manual,13.5,2179,115,5,365000
3597,Ford Fiesta,Ford,Fiesta,,,,13,100000,Individual,Diesel,Manual,17.8,1399,68,5,180000
3598,Maruti Swift Dzire,Maruti,Swift Dzire,,,,5,150000,Dealer,Diesel,Manual,23.4,1248,74,5,330000
3599,Toyota Innova,Toyota,Innova,,,,6,106000,Dealer,Diesel,Manual,12.99,2494,100.6,8,1175000
3600,Maruti Baleno,Maruti,Baleno,,,,3,40000,Individual,Diesel,Manual,27.39,1248,74,5,700000
3601,Hyundai i10,Hyundai,i10,,,,8,42020,Trustmark Dealer,Petrol,Manual,20.36,1197,78.9,5,365000
