number of adults,number of children,number of weekend nights,number of week nights,car parking space,lead time,average price,special requests,booking_status,Meal Plan 1,Meal Plan 2,Meal Plan 3,Not Selected,Room_Type 1,Room_Type 2,Room_Type 3,Room_Type 4,Room_Type 5,Room_Type 6,Room_Type 7,Aviation,Complementary,Corporate,Offline,Online
2,0,0,3,0,2,101.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,8,131.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,2,0,141,90.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,134,65.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,0,0,4,1,62,146.7,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,2,0,164,100.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,96,118.8,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,37,69.9,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,38,85.5,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,0,0,2,0,2,169.0,3,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,1,43,126.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,38,85.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,9,114.5,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,32,141.53,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,88,88.7,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,115,89.25,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,0,1,2,0,99,161.1,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,22,81.0,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,2,0,8,144.5,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,2,3,0,81,103.5,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,1,1,2,0,81,135.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,58,102.15,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,273,95.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,4,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,79,86.4,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,57,66.53,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,29,79.54,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,18,112.8,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,1,0,88,112.2,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,25,75.6,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,84,118.15,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,0,1,121.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,8,95.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,8,91.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,1,99.33,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3,1,0,4,0,110,139.5,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,0,2,1,0,3,150.33,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,1,0,54,69.5,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,64,94.5,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,52,85.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,232,81.82,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,0,4,0,71,105.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,23,123.8,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,1,3,0,2,93.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,63,116.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2,2,3,0,10,215.0,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,0,2,0,122,85.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,5,0,150,114.66,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,359,78.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,0,118,110.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,74,101.5,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,304,89.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,0,3,0,25,167.0,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,1,0,0,89.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,41,105.9,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,244,90.95,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,11,85.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,36,60.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,192,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,77,105.3,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,30,108.0,3,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,217,90.1,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,23,79.0,1,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,1,116.27,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,12,106.25,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,56,74.8,3,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,110,94.5,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,1,2,0,9,149.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,43,106.8,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,2,0,219,76.67,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,87,105.3,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,5,0,22,105.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,6,0.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,305,89.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,7,86.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,3,80.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,3,0,91,90.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,100,100.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,2,0,0,91,107.1,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,19,89.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,5,0,128,103.5,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,42,118.5,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,18,85.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,103,115.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,94,79.2,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,78,105.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,4,72.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,4,0,1,121.5,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,2,98.21,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,59,89.1,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,16,77.53,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,0,0,24,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2,0,0,2,0,57,135.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,20,134.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,2,0,0,103.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,121,90.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,27,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,1,0,0,50,111.6,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,110,94.5,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,2,2,0,16,180.5,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,3,0,92,49.74,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,76,110.15,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,3,0,146,65.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,5,0,9,142.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,12,122.33,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,102,101.5,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,57,80.3,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,31,125.1,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,142,95.79,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,292,115.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,54,96.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,21,110.0,1,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,44,75.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,104.72,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,30,121.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,5,0,186,90.95,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,36,88.0,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,1,138,114.3,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,5,0,162,62.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,0,1,0,2,85.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,100,73.95,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,97,60.5,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,0,1,2,0,33,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,4,0,86,88.83,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,4,0,245,110.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,24,58.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,0,1,2,0,89,137.7,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,1,0,66,58.9,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,5,66.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,41,110.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,0,0,2,0,45,98.1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,1,65.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,11,143.33,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,2,0,9,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,0,1,2,0,161,96.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,2,1,0,2,72.5,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,13,87.78,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,1,105.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,38,88.8,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,166,89.25,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,68,65.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,256,90.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,418,107.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,160.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,1,2,0,133,113.6,0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,2,0,273,109.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,17,90.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,88,72.25,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,80,95.24,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,2,1,0,16,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,3,0,15,117.67,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,59,139.5,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,2,0,32,73.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,213,130.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,161,130.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,17,90.34,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,155,101.88,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,49,75.95,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,257,101.5,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,50,67.66,0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,247,115.0,1,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,2,4,0,64,115.03,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,2,0,1,0,24,206.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,0,5,0,10,90.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,59,75.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,164,100.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,32,73.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,122,107.0,1,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,276,95.67,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,18,105.64,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,3,0,116,90.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,38,75.3,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,41,121.33,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,1,5,1,6,104.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,3,0,47,120.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,2,1,2,0,9,115.67,3,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,133.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,0,3,0,1,183.5,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,118,107.95,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,2,0,0,80.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,4,0,12,120.06,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,4,0,89,68.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,38,67.6,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,1,41,93.45,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,0,0,145,0.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,1,83,105.3,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,1,159.38,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,192,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,0,2,7,0,178,127.22,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,3,0,166,110.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,44,75.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,237,90.95,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,163,94.5,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,2,0,2,0,22,240.0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,1,4,0,7,143.2,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,5,0,20,68.85,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,54,88.4,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,89,76.5,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,2,123.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,112,120.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,2,3,0,153,122.91,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,7,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,6,0.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,14,72.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,36,135.9,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,39,101.5,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,3,0,10,107.0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,1,1,2,0,6,169.0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,112,79.2,1,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,3,7,0,18,75.99,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,66,87.3,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,377,90.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,71,87.3,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,0,1,0,16,105.4,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,9,63.75,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,0,2,0,102,101.5,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,103,95.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,0,0,146,95.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,130,85.5,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,0,115.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,4,99.0,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,88,75.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,85,105.3,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,63,88.4,3,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,85,90.95,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,0,11,127.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,3,79.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,1,1,0,94,90.45,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,119,85.61,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,130,102.58,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,30,88.4,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,140.0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,0,2,1,0,5,120.33,2,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,1,42,158.4,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,1,0,0,2,89.0,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,5,65.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,1,2,0,290,72.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,28,101.8,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,116,75.27,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,216,96.3,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,82,85.5,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,110,80.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,226,70.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,12,87.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,9,79.0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,41,85.67,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,48,40.67,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,71,95.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,37,105.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,2,3,0,164,108.11,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,2,0,60,75.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,126,86.36,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,1,0,258,106.2,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,151,80.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
