Idade;Anos_experiencia;Renda;Familia;Educacao;Hipoteca;Cartao_credito;Emprestimo_pessoal
43;18;85,0;1;Advanced/Professional;327;0;0
35;10;139,0;2;Undergrad;0;0;0
50;24;103,0;1;Undergrad;0;0;0
45;21;152,0;2;Undergrad;0;0;0
52;27;33,0;2;Graduated;0;0;0
35;9;84,0;4;Graduated;322;0;0
58;33;61,0;4;Undergrad;0;0;0
62;38;64,0;4;Undergrad;123;1;0
50;25;34,0;1;Graduated;0;0;0
25;0;82,0;4;Advanced/Professional;0;0;0
47;22;122,0;1;Advanced/Professional;163;0;1
28;4;58,0;3;Undergrad;131;0;0
34;9;92,0;1;Undergrad;0;0;0
49;23;78,0;2;Graduated;205;1;0
54;29;129,0;4;Advanced/Professional;0;0;1
50;25;13,0;2;Advanced/Professional;0;0;0
37;11;81,0;1;Advanced/Professional;145;0;0
38;8;23,0;1;Advanced/Professional;0;0;0
52;26;35,0;3;Advanced/Professional;0;0;0
63;39;79,0;4;Graduated;0;1;0
39;14;165,0;2;Undergrad;0;0;0
63;38;52,0;2;Undergrad;0;0;0
65;41;185,0;3;Graduated;0;0;1
46;20;49,0;3;Graduated;0;0;0
54;30;64,0;1;Advanced/Professional;227;1;0
54;24;61,0;4;Advanced/Professional;0;0;0
52;26;112,0;1;Undergrad;0;1;0
63;39;72,0;3;Advanced/Professional;190;0;0
66;41;18,0;3;Undergrad;0;0;0
56;29;41,0;4;Graduated;0;0;0
23;0;61,0;4;Undergrad;239;0;0
65;41;105,0;1;Graduated;282;0;1
51;27;23,0;1;Undergrad;0;0;0
34;10;22,0;1;Advanced/Professional;85;0;0
49;23;59,0;3;Undergrad;0;0;0
29;2;33,0;1;Graduated;160;0;0
47;23;11,0;1;Advanced/Professional;103;1;0
46;21;204,0;2;Undergrad;0;0;0
52;27;61,0;4;Advanced/Professional;207;0;0
55;31;103,0;3;Graduated;364;0;0
61;36;51,0;3;Undergrad;0;1;0
34;9;164,0;1;Advanced/Professional;0;0;1
58;34;12,0;1;Graduated;0;1;0
40;16;82,0;1;Graduated;0;0;0
43;17;164,0;1;Undergrad;449;0;0
35;8;48,0;2;Graduated;0;0;0
24;0;38,0;4;Graduated;0;0;0
48;22;65,0;2;Graduated;0;0;0
44;20;71,0;4;Undergrad;207;0;0
54;30;18,0;1;Undergrad;0;0;0
59;34;52,0;2;Advanced/Professional;75;0;0
45;18;48,0;3;Graduated;113;1;0
26;2;30,0;1;Advanced/Professional;111;0;0
40;15;40,0;2;Advanced/Professional;107;0;0
32;7;112,0;1;Undergrad;81;0;0
29;4;115,0;1;Undergrad;0;0;0
51;27;63,0;2;Advanced/Professional;82;0;0
42;17;85,0;1;Advanced/Professional;0;0;0
64;38;59,0;1;Advanced/Professional;220;0;0
44;20;68,0;1;Advanced/Professional;91;0;0
37;11;84,0;2;Undergrad;0;1;0
44;19;62,0;3;Advanced/Professional;0;1;0
35;9;109,0;3;Undergrad;0;0;1
41;17;141,0;2;Undergrad;92;0;0
56;32;129,0;1;Undergrad;0;0;0
62;36;30,0;3;Graduated;0;0;0
58;34;148,0;1;Undergrad;0;0;0
47;20;25,0;3;Graduated;0;1;0
35;10;21,0;3;Undergrad;115;0;0
29;4;72,0;4;Undergrad;0;0;0
43;17;59,0;3;Advanced/Professional;87;1;0
62;37;83,0;3;Graduated;187;0;0
41;16;10,0;2;Graduated;0;0;0
34;9;84,0;3;Graduated;0;0;0
50;23;98,0;3;Graduated;0;0;0
47;23;32,0;1;Undergrad;0;1;0
;5;31,0;4;Graduated;161;1;0
;34;94,0;3;Undergrad;0;1;0
;31;21,0;2;Advanced/Professional;137;1;0
;35;110,0;3;Undergrad;0;0;0
;32;38,0;1;Advanced/Professional;0;0;0
;24;39,0;1;Advanced/Professional;0;0;0
;21;132,0;3;Graduated;0;1;1
;24;61,0;4;Undergrad;0;0;0
;38;92,0;1;Undergrad;0;0;0
;15;119,0;2;Undergrad;0;0;0
;33;53,0;4;Undergrad;0;0;0
;37;18,0;3;Graduated;0;0;0
;20;114,0;2;Graduated;0;0;1
;28;90,0;1;Advanced/Professional;0;1;0
;18;140,0;1;Undergrad;205;0;0
;3;90,0;2;Undergrad;0;1;0
;1;85,0;1;Undergrad;0;0;0
;24;80,0;1;Undergrad;0;0;0
;42;53,0;2;Undergrad;0;1;0
;7;49,0;4;Graduated;0;0;0
;35;152,0;3;Advanced/Professional;0;0;1
;37;138,0;2;Graduated;0;0;1
;10;80,0;4;Graduated;0;0;0
;23;82,0;2;Graduated;0;0;0
;27;195,0;1;Undergrad;0;0;0
;37;22,0;1;Advanced/Professional;0;0;0
;6;81,0;1;Undergrad;0;0;0
;37;40,0;4;Undergrad;0;1;0
;20;154,0;2;Undergrad;0;0;0
;4;49,0;3;Graduated;0;1;0
;37;85,0;4;Graduated;0;0;0
;32;21,0;3;Graduated;0;0;0
;17;14,0;1;Undergrad;0;0;0
;34;60,0;4;Graduated;0;1;0
;5;138,0;2;Undergrad;0;0;0
;28;98,0;1;Advanced/Professional;355;0;0
;39;22,0;4;Graduated;0;0;0
;23;49,0;1;Graduated;0;1;0
;14;102,0;2;Undergrad;0;1;0
;30;45,0;4;Graduated;0;1;0
;31;82,0;4;Advanced/Professional;0;0;0
;28;81,0;3;Graduated;0;0;0
;39;35,0;1;Graduated;0;0;0
;28;59,0;2;Graduated;0;0;0
;3;52,0;3;Graduated;0;0;0
;24;84,0;3;Undergrad;166;0;0
;6;85,0;1;Graduated;100;0;0
;28;65,0;1;Undergrad;0;1;0
;13;89,0;2;Graduated;314;1;0
;21;109,0;4;Undergrad;0;0;1
;12;81,0;1;Undergrad;0;0;0
;39;38,0;1;Advanced/Professional;108;0;0
;19;72,0;2;Undergrad;0;0;0
;6;78,0;4;Graduated;119;0;0
;2;172,0;2;Graduated;0;0;1
;18;71,0;3;Undergrad;106;0;0
;28;165,0;1;Advanced/Professional;0;1;1
;16;120,0;2;Undergrad;0;1;0
;29;39,0;1;Undergrad;0;1;0
;39;23,0;3;Graduated;0;1;0
;26;135,0;2;Advanced/Professional;91;0;1
;31;12,0;2;Undergrad;76;1;0
;36;92,0;2;Graduated;0;0;0
;28;192,0;2;Advanced/Professional;0;0;1
;7;42,0;4;Undergrad;0;1;0
;32;158,0;3;Advanced/Professional;0;0;1
;30;194,0;3;Advanced/Professional;587;1;1
;20;160,0;2;Undergrad;0;0;0
;22;98,0;2;Undergrad;0;0;0
;22;164,0;2;Undergrad;0;1;0
;21;42,0;2;Undergrad;0;0;0
;15;202,0;3;Advanced/Professional;0;0;1
;34;10,0;4;Undergrad;0;0;0
;3;31,0;4;Graduated;0;0;0
;30;58,0;4;Undergrad;0;1;0
;29;65,0;4;Graduated;0;0;0
;16;98,0;1;Advanced/Professional;0;1;0
;0;150,0;2;Undergrad;0;0;0
;29;44,0;2;Advanced/Professional;0;0;0
;32;15,0;2;Advanced/Professional;0;1;0
;6;82,0;2;Undergrad;0;0;0
;17;61,0;3;Advanced/Professional;0;0;0
;2;38,0;1;Graduated;0;0;0
;3;39,0;4;Advanced/Professional;0;0;0
;7;173,0;1;Undergrad;0;0;0
;23;8,0;4;Undergrad;0;0;0
;12;51,0;3;Undergrad;214;0;0
;27;62,0;4;Advanced/Professional;82;0;0
;28;34,0;4;Graduated;0;0;0
;29;132,0;3;Graduated;307;0;1
;27;44,0;4;Advanced/Professional;0;0;0
;27;162,0;1;Undergrad;0;0;0
;39;64,0;3;Undergrad;0;0;0
;29;111,0;1;Advanced/Professional;0;1;0
;6;41,0;2;Advanced/Professional;0;0;0
;33;52,0;4;Advanced/Professional;0;0;0
;10;65,0;4;Graduated;0;0;0
;25;130,0;1;Graduated;0;0;1
;8;45,0;2;Undergrad;0;1;0
;38;35,0;1;Graduated;118;0;0
;23;65,0;3;Graduated;263;1;0
;15;38,0;2;Undergrad;91;0;0
;27;42,0;4;Graduated;0;1;0
;30;45,0;4;Advanced/Professional;0;0;0
;25;145,0;1;Undergrad;0;0;0
;13;33,0;4;Advanced/Professional;0;0;0
;35;60,0;3;Advanced/Professional;0;0;0
;9;45,0;1;Undergrad;0;1;0
;15;72,0;4;Undergrad;0;0;0
;11;34,0;3;Graduated;0;0;0
;21;23,0;3;Graduated;0;0;0
;37;45,0;2;Advanced/Professional;88;1;0
;9;28,0;4;Undergrad;75;0;0
;30;81,0;4;Graduated;0;0;0
;5;72,0;3;Graduated;81;0;0
;31;49,0;4;Advanced/Professional;0;0;0
;10;31,0;4;Graduated;0;0;0
;35;63,0;3;Advanced/Professional;0;0;0
;12;150,0;4;Undergrad;0;0;1
;33;142,0;2;Undergrad;193;1;0
;17;74,0;3;Undergrad;0;1;0
;4;24,0;1;Graduated;81;0;0
;20;29,0;4;Advanced/Professional;0;0;0
;15;79,0;4;Undergrad;0;0;0
;3;94,0;2;Undergrad;310;1;0
;33;121,0;1;Undergrad;0;0;0
;10;54,0;3;Undergrad;0;0;0
;39;73,0;3;Undergrad;0;0;0
;23;71,0;1;Advanced/Professional;127;0;0
;17;29,0;3;Graduated;0;1;0
;27;93,0;1;Undergrad;0;0;0
;14;73,0;1;Advanced/Professional;252;0;0
;32;19,0;4;Graduated;0;0;0
;8;58,0;2;Undergrad;0;1;0
;20;39,0;1;Undergrad;0;0;0
;16;23,0;2;Graduated;0;0;0
;7;29,0;1;Advanced/Professional;127;1;0
;2;155,0;1;Undergrad;0;0;0
;28;90,0;1;Graduated;0;0;0
;33;113,0;2;Undergrad;77;0;0
;38;42,0;1;Advanced/Professional;0;0;0
;25;30,0;4;Undergrad;0;1;0
;19;19,0;3;Graduated;0;0;0
;37;124,0;3;Graduated;170;0;1
;31;30,0;2;Graduated;145;0;0
;30;28,0;1;Advanced/Professional;124;0;0
;23;15,0;2;Graduated;101;0;0
;30;70,0;1;Advanced/Professional;265;0;0
;2;10,0;1;Graduated;0;0;0
;34;22,0;3;Advanced/Professional;139;1;0
;20;70,0;4;Undergrad;0;0;0
;35;61,0;1;Undergrad;0;0;0
;15;161,0;2;Undergrad;0;1;0
;30;29,0;2;Undergrad;0;1;0
;19;35,0;3;Undergrad;0;0;0
;28;48,0;4;Graduated;0;0;0
;7;44,0;4;Undergrad;0;0;0
;0;88,0;3;Undergrad;134;0;0
;4;40,0;4;Advanced/Professional;0;1;0
;36;21,0;4;Graduated;123;0;0
;14;58,0;2;Undergrad;0;0;0
;11;59,0;4;Graduated;0;0;0
;3;74,0;4;Advanced/Professional;0;0;0
;37;84,0;4;Graduated;0;0;0
;31;58,0;1;Undergrad;177;0;0
;19;154,0;2;Undergrad;0;0;0
;25;185,0;1;Undergrad;0;0;0
;26;78,0;1;Undergrad;305;0;0
;13;55,0;2;Graduated;0;0;0
;5;30,0;4;Graduated;0;0;0
;29;74,0;3;Graduated;0;0;0
;16;118,0;2;Undergrad;0;0;0
;33;182,0;2;Advanced/Professional;372;0;1
;0;82,0;2;Advanced/Professional;0;1;0
;29;29,0;4;Advanced/Professional;79;0;0
;6;120,0;4;Undergrad;301;1;1
;12;53,0;2;Graduated;0;0;0
;32;43,0;3;Undergrad;0;1;0
;4;59,0;4;Undergrad;232;1;0
;17;84,0;4;Advanced/Professional;289;1;0
;24;161,0;3;Undergrad;212;0;1
;37;21,0;4;Graduated;137;1;0
;32;63,0;4;Undergrad;0;0;0
;3;172,0;3;Graduated;0;1;1
;4;51,0;4;Undergrad;172;1;0
;33;24,0;4;Undergrad;0;0;0
;33;95,0;2;Undergrad;0;0;0
;18;59,0;1;Undergrad;250;0;0
;2;51,0;4;Graduated;0;0;0
;22;28,0;1;Undergrad;84;1;0
;3;154,0;2;Undergrad;130;0;0
;40;15,0;2;Advanced/Professional;115;1;0
;36;55,0;4;Advanced/Professional;0;1;0
;0;149,0;1;Undergrad;305;1;0
;36;79,0;1;Advanced/Professional;0;1;0
;21;68,0;4;Advanced/Professional;0;0;0
;10;78,0;1;Graduated;0;0;0
;32;34,0;2;Graduated;0;0;0
;41;195,0;3;Undergrad;0;1;1
;28;184,0;1;Undergrad;303;0;0
;20;85,0;2;Undergrad;0;0;0
;20;200,0;2;Undergrad;0;1;0
;16;64,0;3;Advanced/Professional;0;0;0
;27;88,0;1;Graduated;0;1;0
;1;42,0;3;Graduated;0;0;0
;5;91,0;3;Undergrad;126;1;0
;6;38,0;1;Undergrad;0;0;0
;30;28,0;1;Graduated;0;0;0
;30;32,0;4;Advanced/Professional;0;0;0
;18;31,0;1;Advanced/Professional;0;1;0
;9;22,0;4;Graduated;103;0;0
;40;95,0;3;Graduated;138;1;1
;10;74,0;4;Undergrad;0;0;0
;30;22,0;1;Graduated;91;1;0
;4;43,0;3;Graduated;0;0;0
;3;43,0;1;Advanced/Professional;0;0;0
;27;112,0;3;Graduated;0;1;0
;23;9,0;2;Graduated;0;0;0
;33;81,0;2;Advanced/Professional;0;0;0
;20;131,0;1;Undergrad;256;1;0
;32;19,0;1;Advanced/Professional;0;0;0
;13;62,0;3;Graduated;0;0;0
;37;19,0;4;Graduated;124;0;0
;32;8,0;2;Undergrad;0;1;0
;36;193,0;1;Advanced/Professional;203;0;1
;13;129,0;4;Undergrad;140;0;1
;29;30,0;4;Graduated;0;1;0
;4;80,0;4;Graduated;0;0;0
;15;22,0;4;Advanced/Professional;0;1;0
;32;33,0;1;Graduated;0;0;0
;11;64,0;4;Advanced/Professional;0;0;0
;29;60,0;3;Advanced/Professional;84;0;0
;4;81,0;1;Advanced/Professional;259;1;0
;16;45,0;3;Graduated;204;0;0
;6;112,0;4;Graduated;0;0;0
;34;83,0;2;Advanced/Professional;0;0;1
;20;180,0;2;Undergrad;524;1;0
;26;28,0;4;Graduated;0;0;0
;12;169,0;2;Advanced/Professional;249;0;1
;35;14,0;4;Undergrad;0;0;0
;11;43,0;1;Undergrad;0;0;0
;32;88,0;2;Undergrad;0;0;0
;29;78,0;4;Advanced/Professional;0;1;0
;24;68,0;1;Graduated;163;0;0
;22;144,0;2;Undergrad;0;1;0
;9;30,0;4;Undergrad;163;0;0
;21;120,0;1;Undergrad;135;0;0
;14;24,0;2;Graduated;0;0;0
;1;78,0;4;Advanced/Professional;157;0;0
;36;135,0;2;Graduated;0;0;1
;32;44,0;2;Advanced/Professional;0;0;0
;30;73,0;4;Graduated;0;0;0
;31;90,0;1;Graduated;0;1;0
;15;58,0;3;Advanced/Professional;0;0;0
;32;75,0;2;Undergrad;236;0;0
;19;174,0;3;Advanced/Professional;231;1;1
;16;50,0;2;Undergrad;174;0;0
;18;85,0;1;Advanced/Professional;287;0;0
;38;54,0;3;Undergrad;0;0;0
;38;83,0;2;Undergrad;0;0;1
;30;24,0;4;Undergrad;0;0;0
;30;45,0;4;Graduated;205;0;0
;26;68,0;1;Advanced/Professional;0;1;0
;26;48,0;4;Advanced/Professional;0;1;0
;13;114,0;1;Advanced/Professional;0;1;0
;12;142,0;3;Graduated;0;1;1
;33;52,0;3;Graduated;0;1;0
;22;142,0;2;Undergrad;0;0;0
;25;15,0;1;Advanced/Professional;0;0;0
;22;118,0;1;Undergrad;159;1;0
;27;101,0;4;Undergrad;0;0;0
;36;84,0;2;Undergrad;0;0;0
;39;32,0;1;Graduated;100;0;0
;16;64,0;3;Advanced/Professional;247;0;0
;10;81,0;4;Undergrad;0;0;0
;14;28,0;4;Advanced/Professional;0;1;0
;9;93,0;1;Undergrad;0;0;0
;15;185,0;1;Graduated;0;0;1
;8;42,0;1;Graduated;0;0;0
;3;45,0;2;Advanced/Professional;0;1;0
;6;49,0;2;Graduated;214;0;0
;20;69,0;3;Undergrad;0;0;0
;27;94,0;1;Graduated;333;0;0
;35;18,0;1;Graduated;0;1;0
;35;8,0;4;Undergrad;91;0;0
;32;55,0;4;Undergrad;108;0;0
;20;85,0;2;Advanced/Professional;0;0;0
;1;62,0;4;Undergrad;229;0;0
;23;65,0;4;Advanced/Professional;0;0;0
;12;138,0;2;Undergrad;0;0;0
;38;103,0;1;Undergrad;0;0;0
;19;99,0;3;Advanced/Professional;357;0;1
;24;152,0;1;Undergrad;0;0;0
;3;25,0;2;Advanced/Professional;140;0;0
;3;98,0;2;Undergrad;361;1;0
;27;39,0;2;Graduated;166;0;0
;25;40,0;1;Graduated;0;1;0
;13;58,0;3;Undergrad;169;0;0
;26;192,0;2;Advanced/Professional;301;1;1
;34;62,0;1;Graduated;0;0;0
;5;69,0;1;Graduated;0;0;0
;5;40,0;4;Advanced/Professional;170;0;0
;15;61,0;2;Advanced/Professional;127;0;0
;3;30,0;4;Graduated;157;0;0
;29;29,0;1;Graduated;97;0;0
;8;41,0;2;Graduated;0;1;0
;3;118,0;1;Graduated;0;0;1
;20;109,0;1;Undergrad;366;0;0
;33;122,0;4;Graduated;0;0;1
;37;50,0;3;Undergrad;169;0;0
;4;43,0;3;Graduated;0;0;0
32;7;108,0;1;Undergrad;0;0;0
29;4;110,0;4;Advanced/Professional;0;0;1
41;17;20,0;1;Advanced/Professional;0;0;0
61;35;112,0;4;Advanced/Professional;0;1;0
56;32;25,0;1;Graduated;136;0;0
37;12;42,0;3;Graduated;0;1;0
60;34;29,0;2;Undergrad;0;0;0
49;23;84,0;3;Undergrad;134;0;0
43;17;81,0;4;Advanced/Professional;0;0;0
53;28;55,0;4;Undergrad;119;1;0
35;11;40,0;1;Graduated;0;0;0
56;30;145,0;4;Graduated;0;1;1
41;16;175,0;2;Advanced/Professional;0;0;1
36;6;78,0;4;Advanced/Professional;163;0;0
56;32;51,0;4;Undergrad;0;0;0
64;34;50,0;4;Advanced/Professional;0;0;0
51;27;21,0;3;Undergrad;0;0;0
49;24;79,0;1;Graduated;83;1;0
43;18;84,0;1;Advanced/Professional;0;0;0
51;26;34,0;4;Graduated;0;0;0
55;31;73,0;4;Graduated;0;0;0
62;37;90,0;3;Undergrad;0;0;0
35;10;23,0;4;Advanced/Professional;0;0;0
53;27;145,0;2;Advanced/Professional;294;1;1
33;7;54,0;4;Undergrad;141;0;0
43;17;49,0;3;Graduated;103;1;0
58;32;51,0;1;Graduated;0;0;0
63;38;8,0;4;Graduated;0;0;0
31;6;62,0;1;Undergrad;0;0;0
36;6;25,0;1;Advanced/Professional;0;0;0
30;0;63,0;2;Advanced/Professional;0;0;0
59;34;24,0;2;Advanced/Professional;86;0;0
28;2;11,0;1;Graduated;0;1;0
59;34;23,0;1;Undergrad;0;1;0
47;22;33,0;1;Advanced/Professional;0;0;0
47;21;83,0;1;Undergrad;97;0;1
56;30;39,0;3;Undergrad;131;1;0
41;17;138,0;3;Graduated;0;0;1
25;1;113,0;3;Undergrad;0;1;0
30;5;125,0;4;Advanced/Professional;0;0;1
50;24;195,0;1;Undergrad;0;0;0
34;9;105,0;3;Advanced/Professional;0;0;0
44;18;75,0;2;Undergrad;0;0;1
36;9;40,0;2;Graduated;0;0;0
39;14;61,0;3;Advanced/Professional;137;0;0
54;24;75,0;2;Advanced/Professional;0;0;0
33;8;122,0;1;Undergrad;0;1;0
39;14;75,0;3;Undergrad;0;1;0
41;15;59,0;4;Advanced/Professional;0;0;0
40;13;24,0;3;Graduated;0;0;0
29;3;175,0;3;Advanced/Professional;329;0;1
51;27;39,0;2;Undergrad;182;1;0
54;30;145,0;2;Undergrad;0;0;0
47;22;24,0;4;Graduated;142;0;0
53;28;20,0;3;Graduated;0;0;0
30;5;85,0;1;Graduated;0;0;0
28;3;65,0;3;Advanced/Professional;0;0;0
60;35;191,0;4;Advanced/Professional;0;0;1
51;26;11,0;2;Undergrad;0;0;0
63;37;40,0;2;Advanced/Professional;167;0;0
38;13;54,0;3;Graduated;196;0;0
59;35;95,0;1;Undergrad;0;1;0
53;29;94,0;4;Graduated;0;0;0
31;5;79,0;4;Graduated;0;0;0
41;17;48,0;3;Advanced/Professional;0;1;0
25;1;70,0;4;Undergrad;0;0;0
27;3;40,0;3;Graduated;111;0;0
50;24;44,0;4;Undergrad;0;1;0
50;25;43,0;1;Advanced/Professional;137;0;0
43;18;29,0;1;Advanced/Professional;0;0;0
50;24;188,0;3;Undergrad;184;1;1
46;20;114,0;1;Undergrad;0;1;0
30;6;52,0;3;Graduated;0;0;0
42;16;13,0;1;Undergrad;0;0;0
42;17;95,0;3;Advanced/Professional;0;0;0
29;3;84,0;1;Advanced/Professional;0;0;0
38;14;49,0;1;Undergrad;0;0;0
51;25;181,0;1;Undergrad;0;1;0
35;10;182,0;1;Graduated;229;1;1
37;13;70,0;2;Undergrad;0;0;0
47;21;79,0;3;Undergrad;185;1;0
55;29;61,0;4;Graduated;0;1;0
65;41;121,0;2;Undergrad;0;0;0
58;33;34,0;3;Undergrad;83;0;0
54;28;183,0;1;Undergrad;442;0;0
52;28;51,0;1;Advanced/Professional;0;1;0
28;2;70,0;3;Advanced/Professional;0;1;0
32;8;39,0;1;Undergrad;0;1;0
51;24;84,0;3;Graduated;0;0;0
43;18;122,0;1;Undergrad;0;1;0
42;18;145,0;1;Undergrad;132;1;0
42;17;98,0;2;Undergrad;0;1;0
41;16;79,0;1;Advanced/Professional;233;0;0
34;8;38,0;2;Advanced/Professional;0;1;0
30;6;49,0;3;Graduated;196;1;0
32;7;38,0;1;Undergrad;0;0;0
46;20;91,0;4;Advanced/Professional;0;0;0
38;12;29,0;4;Undergrad;0;1;0
37;13;172,0;2;Undergrad;0;0;0
32;8;104,0;2;Undergrad;0;1;1
35;9;58,0;1;Undergrad;0;1;0
30;5;171,0;2;Graduated;0;0;1
30;4;73,0;3;Undergrad;0;1;1
58;32;191,0;1;Undergrad;0;0;0
57;27;90,0;2;Advanced/Professional;0;0;0
34;9;55,0;3;Undergrad;0;1;0
31;4;28,0;1;Graduated;0;0;0
39;14;42,0;1;Advanced/Professional;0;0;0
57;33;9,0;1;Graduated;91;0;0
47;21;65,0;1;Graduated;0;0;0
51;26;134,0;4;Advanced/Professional;0;0;1
30;6;83,0;4;Undergrad;0;0;0
55;28;38,0;3;Graduated;0;0;0
32;6;13,0;4;Undergrad;0;1;0
32;7;143,0;3;Advanced/Professional;0;0;1
44;20;75,0;4;Undergrad;0;0;0
33;7;120,0;1;Advanced/Professional;0;0;1
49;24;91,0;1;Graduated;0;0;0
32;6;99,0;2;Advanced/Professional;0;1;0
31;7;71,0;1;Undergrad;78;0;0
37;13;111,0;1;Graduated;0;0;0
41;15;108,0;1;Undergrad;0;0;0
56;32;158,0;1;Undergrad;0;0;0
55;31;81,0;3;Undergrad;0;0;0
49;23;12,0;2;Advanced/Professional;0;0;0
63;37;21,0;2;Undergrad;0;0;0
55;30;55,0;4;Undergrad;215;1;0
59;35;42,0;1;Advanced/Professional;0;0;0
41;16;81,0;2;Undergrad;0;1;0
49;25;13,0;4;Undergrad;87;0;0
48;23;132,0;1;Undergrad;157;0;0
41;16;99,0;1;Advanced/Professional;0;0;0
50;26;23,0;4;Undergrad;0;1;0
28;1;40,0;1;Graduated;0;0;0
36;11;181,0;3;Undergrad;0;0;1
38;14;112,0;2;Undergrad;394;0;0
34;9;138,0;2;Undergrad;227;0;0
41;17;94,0;3;Graduated;327;0;1
43;19;113,0;1;Undergrad;0;0;0
30;5;112,0;4;Graduated;0;1;1
37;12;190,0;2;Undergrad;475;0;0
62;37;38,0;1;Advanced/Professional;0;0;0
40;16;32,0;1;Advanced/Professional;158;0;0
35;10;104,0;3;Graduated;0;1;0
64;40;43,0;1;Graduated;0;0;0
49;24;45,0;3;Graduated;0;0;0
24;0;35,0;2;Graduated;0;0;0
36;10;42,0;4;Graduated;0;1;0
29;4;58,0;1;Graduated;0;1;0
29;3;103,0;4;Undergrad;0;0;1
28;3;71,0;1;Graduated;149;0;1
33;7;14,0;1;Graduated;98;0;0
36;11;98,0;3;Advanced/Professional;0;1;0
42;17;90,0;1;Graduated;0;1;0
25;0;65,0;4;Undergrad;0;0;0
28;2;19,0;4;Undergrad;0;1;0
50;25;35,0;3;Graduated;0;1;0
34;9;71,0;4;Undergrad;0;0;0
43;19;31,0;3;Undergrad;0;0;0
62;38;43,0;4;Graduated;0;0;0
61;36;24,0;1;Graduated;87;0;0
45;19;58,0;2;Advanced/Professional;0;1;0
42;17;115,0;2;Undergrad;0;0;0
39;15;168,0;2;Undergrad;152;0;0
29;5;128,0;1;Undergrad;0;1;0
45;20;138,0;1;Undergrad;0;1;0
58;32;81,0;3;Graduated;0;1;0
29;3;41,0;4;Advanced/Professional;0;0;0
32;7;123,0;2;Graduated;0;0;1
37;13;71,0;2;Undergrad;94;0;0
48;23;8,0;1;Advanced/Professional;0;1;0
40;14;42,0;2;Undergrad;101;0;0
29;4;62,0;2;Undergrad;184;0;0
36;12;22,0;4;Undergrad;91;0;0
35;8;38,0;4;Graduated;0;0;0
35;11;24,0;4;Graduated;0;0;0
62;37;50,0;3;Undergrad;0;0;0
26;1;190,0;4;Graduated;197;0;1
32;7;94,0;2;Undergrad;0;0;0
63;37;165,0;4;Advanced/Professional;0;0;1
38;12;43,0;4;Graduated;0;1;0
50;26;48,0;1;Graduated;0;1;0
46;21;52,0;3;Graduated;228;1;0
50;24;84,0;4;Undergrad;0;0;0
61;36;131,0;1;Undergrad;0;0;0
34;8;44,0;4;Undergrad;0;0;0
27;2;78,0;4;Undergrad;87;0;0
61;36;15,0;4;Graduated;0;0;0
45;20;38,0;4;Advanced/Professional;144;1;0
50;25;84,0;1;Advanced/Professional;0;0;0
44;20;122,0;1;Undergrad;0;0;0
62;36;98,0;2;Undergrad;0;0;0
45;18;80,0;3;Graduated;0;0;0
41;17;165,0;2;Undergrad;0;0;0
30;5;121,0;2;Undergrad;0;1;0
61;37;20,0;3;Graduated;94;0;0
45;19;11,0;1;Undergrad;91;0;0
59;35;45,0;1;Advanced/Professional;0;0;0
30;6;118,0;2;Graduated;0;0;1
60;36;14,0;2;Undergrad;109;1;0
39;13;30,0;3;Graduated;0;0;0
56;30;45,0;1;Undergrad;98;0;0
56;32;80,0;3;Undergrad;0;0;0
27;1;25,0;4;Graduated;0;1;0
66;41;144,0;1;Undergrad;0;1;0
43;19;84,0;4;Advanced/Professional;297;0;0
53;29;22,0;2;Undergrad;0;0;0
44;18;33,0;3;Undergrad;0;1;0
54;28;60,0;4;Advanced/Professional;0;0;0
31;6;81,0;4;Graduated;116;0;0
38;13;169,0;1;Advanced/Professional;0;1;1
28;2;63,0;2;Advanced/Professional;0;0;0
51;26;12,0;2;Advanced/Professional;109;1;0
52;27;15,0;4;Undergrad;101;0;0
64;38;39,0;1;Advanced/Professional;0;1;0
29;4;44,0;4;Graduated;0;0;0
34;10;110,0;1;Undergrad;0;0;0
33;8;130,0;3;Graduated;99;1;1
46;21;41,0;1;Advanced/Professional;128;0;0
48;22;59,0;1;Advanced/Professional;241;0;0
52;28;39,0;2;Undergrad;0;0;0
44;19;35,0;4;Graduated;0;0;0
51;27;80,0;1;Graduated;0;1;0
47;20;81,0;1;Graduated;0;0;0
39;13;31,0;2;Advanced/Professional;0;0;0
42;17;93,0;4;Advanced/Professional;0;0;0
57;33;45,0;4;Undergrad;204;0;0
36;12;40,0;2;Advanced/Professional;0;1;0
27;1;80,0;2;Advanced/Professional;185;1;0
31;7;20,0;1;Advanced/Professional;0;0;0
63;37;41,0;1;Advanced/Professional;0;1;0
34;8;31,0;1;Undergrad;104;1;0
52;27;35,0;4;Graduated;0;0;0
57;31;40,0;3;Advanced/Professional;137;1;0
63;39;84,0;1;Advanced/Professional;0;0;0
26;1;53,0;2;Advanced/Professional;0;0;0
35;5;85,0;4;Advanced/Professional;0;0;0
58;33;138,0;2;Undergrad;0;0;0
32;2;71,0;2;Advanced/Professional;108;0;0
64;39;113,0;1;Advanced/Professional;0;1;0
50;23;23,0;2;Graduated;0;0;0
34;9;62,0;3;Undergrad;0;0;0
36;11;14,0;4;Advanced/Professional;100;1;0
43;18;60,0;2;Advanced/Professional;0;1;0
28;4;94,0;3;Undergrad;236;0;0
